Name,K%,KL%,BB%,HBP%,FB%,GB%,LD%,FBS,FBD,FBT,FBHR,GBS,GBD,GBT,GBHR,LDS,LDD,LDT,LDHR
Adam Dunn (2011),35.70%,27.00%,15.10%,0.81%,47.06%,32.77%,20.17%,3.57%,7.14%,0.00%,9.82%,14.10%,0.00%,0.00%,0.00%,50.00%,16.67%,0.00%,0.00%
Albert Pujols (2003),9.50%,31.00%,11.50%,1.46%,36.26%,43.89%,19.85%,2.11%,6.32%,0.00%,21.05%,27.39%,3.04%,0.00%,0.00%,47.12%,30.77%,0.96%,2.88%
Albert Pujols (2008),8.40%,19.00%,16.20%,0.78%,36.38%,41.28%,22.34%,1.75%,5.85%,0.00%,15.79%,27.32%,4.64%,0.00%,0.00%,47.62%,23.81%,0.00%,9.52%
Álex Rodríguez (2000),18.00%,21.00%,14.90%,1.04%,27.55%,42.60%,29.85%,0.00%,0.00%,0.00%,0.00%,17.37%,1.80%,0.00%,0.00%,58.97%,26.50%,1.71%,0.00%
Álex Rodríguez (2007),17.00%,26.00%,13.40%,2.97%,37.80%,42.98%,19.22%,4.00%,4.57%,0.00%,25.14%,26.63%,0.00%,0.00%,0.00%,42.70%,25.84%,0.00%,11.24%
Barry Bonds (2001),14.00%,48.00%,26.70%,1.36%,40.00%,33.23%,26.77%,0.00%,0.00%,0.00%,0.00%,9.71%,1.94%,0.00%,0.00%,46.99%,36.14%,2.41%,0.00%
Barry Bonds (2004),6.70%,54.00%,37.60%,1.46%,40.06%,36.75%,23.19%,3.76%,6.02%,0.75%,23.31%,22.13%,4.10%,0.00%,0.00%,36.36%,18.18%,2.60%,18.18%
Cal Ripken (1991),6.40%,26.00%,7.40%,0.70%,32.04%,43.34%,24.62%,3.16%,4.21%,0.53%,10.53%,19.07%,3.50%,0.00%,0.00%,45.21%,19.86%,2.74%,9.59%
Carl Crawford (2004),12.10%,12.00%,5.20%,0.15%,32.10%,48.79%,19.11%,3.47%,5.20%,4.62%,5.20%,30.04%,0.76%,0.76%,0.00%,41.75%,14.56%,8.74%,1.94%
Carlos Delgado (2000),14.60%,22.00%,17.30%,2.11%,22.80%,43.47%,33.73%,0.00%,0.00%,0.00%,0.00%,13.11%,1.09%,0.00%,0.00%,50.70%,37.32%,0.70%,0.00%
Casey McGehee (2011),17.30%,46.00%,7.50%,0.17%,32.13%,51.58%,16.29%,2.82%,6.34%,0.00%,9.15%,19.74%,1.75%,0.00%,0.00%,47.22%,15.28%,2.78%,0.00%
Craig Biggio (1997),14.40%,31.00%,11.30%,4.57%,29.82%,47.32%,22.86%,3.33%,4.00%,0.67%,10.00%,28.15%,3.78%,0.00%,0.00%,40.87%,19.13%,6.09%,6.09%
Craig Biggio (1999),14.30%,23.00%,11.80%,1.47%,33.08%,47.99%,18.93%,3.47%,8.09%,0.00%,8.67%,23.51%,5.58%,0.00%,0.00%,46.46%,28.28%,0.00%,1.01%
Curtis Granderson (2007),20.90%,16.00%,7.70%,0.74%,42.31%,35.47%,22.22%,5.05%,7.58%,4.04%,8.59%,24.10%,1.81%,1.81%,0.00%,48.08%,19.23%,11.54%,5.77%
Jody Gerut (2010),23.00%,35.00%,4.10%,0.00%,27.45%,60.78%,11.76%,0.00%,14.29%,0.00%,14.29%,12.90%,3.23%,0.00%,0.00%,33.33%,16.67%,16.67%,0.00%
League Totals (2011),18.60%,24.00%,8.10%,0.84%,35.84%,45.40%,18.76%,4.89%,6.89%,1.09%,8.90%,21.83%,1.77%,0.09%,0.00%,52.17%,17.00%,1.38%,1.71%
Mark McGwire (1998),22.80%,36.00%,23.80%,0.88%,48.02%,26.27%,25.71%,0.59%,1.76%,0.00%,30.00%,27.96%,2.15%,0.00%,0.00%,37.36%,17.58%,0.00%,20.88%
Mark Reynolds (2009),33.70%,14.00%,11.50%,0.76%,44.92%,35.31%,19.77%,1.89%,7.55%,0.63%,27.67%,28.00%,1.60%,0.00%,0.00%,51.43%,22.86%,0.00%,0.00%
Prince Fielder (2011),15.30%,19.00%,15.50%,1.45%,34.77%,44.92%,20.30%,4.35%,6.21%,0.62%,19.88%,20.67%,1.44%,0.00%,0.00%,47.87%,24.47%,0.00%,6.38%
Rickie Weeks (2011),20.80%,21.00%,9.70%,1.55%,33.24%,49.13%,17.63%,7.83%,4.35%,1.74%,14.78%,22.35%,4.12%,0.00%,0.00%,44.26%,22.95%,0.00%,4.92%
Ryan Braun (2011),14.80%,15.00%,9.20%,0.79%,34.69%,43.04%,22.27%,3.70%,8.02%,0.00%,16.67%,26.37%,1.49%,0.00%,0.00%,49.04%,21.15%,5.77%,5.77%
Todd Helton (2000),8.80%,25.00%,14.80%,0.57%,26.47%,37.39%,36.13%,0.00%,0.00%,0.00%,0.00%,13.48%,1.12%,0.00%,0.00%,51.16%,33.14%,1.16%,0.00%
Lowest Value,6.40%,12.00%,4.10%,0.00%,22.80%,26.27%,11.76%,0.00%,0.00%,0.00%,0.00%,9.71%,0.00%,0.00%,0.00%,33.33%,14.56%,0.00%,0.00%
Average Value,16.69%,26.86%,13.65%,1.21%,35.22%,42.44%,22.34%,2.71%,5.20%,0.67%,12.70%,21.63%,2.31%,0.12%,0.00%,46.21%,23.06%,2.97%,4.81%
Highest Value,35.70%,54.00%,37.60%,4.57%,48.02%,60.78%,36.13%,7.83%,14.29%,4.62%,30.00%,30.04%,5.58%,1.81%,0.00%,58.97%,37.32%,16.67%,20.88%
League Average,18.60%,24.00%,8.10%,0.84%,35.84%,45.40%,18.76%,4.89%,6.89%,1.09%,8.90%,21.83%,1.77%,0.09%,0.00%,52.17%,17.00%,1.38%,1.71%
Standard Deviation,3.8,3.2,1.7,0.45,2.7,3.75,3,0.9,,,,,,,,,,,
Lowest Value,5,10,4,0.2,23,28,11,0.1,,,,,,,,,,,
Highest Value,36,40,18,3,48,61,36,7,,,,,,,,,,,
Supermin,5,9,3,,,,,,,,,,,,,,,,
Supermax,38,51,38,,,,,,,,,,,,,,,,
